"TOP_DIRECTOR","OPEN_WEEK","SHOW_TM","NATION_NM","COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","TOP_ACTOR","SERIES","NAVER_CMT_NN","NAVER_EX_PT","AUDI_ACC_PRED"
"기타","27",93,"한국","기타","공포","15세이상관람가","기타","0",1,2.22530928172586,4767
"기타","27",78,"한국","기타","드라마","12세이상관람가","기타","0",0,1.23044892137827,2956
"기타","27",105,"영국","기타","드라마","12세이상관람가","기타","0",1,2.18184358794477,6240
"기타","27",87,"미국","기타","미스터리","12세이상관람가","기타","0",0.301029995663981,1.20411998265592,4075
"기타","27",74,"한국","기타","애니메이션","전체관람가","기타","0",1.53147891704226,1.89762709129044,16130
"기타","27",93,"미국","기타","드라마","15세이상관람가","기타","0",2.13987908640124,2.16136800223497,12257
"기타","27",70,"일본","기타","드라마","12세이상관람가","기타","0",0.698970004336019,1.91907809237607,4221
"기타","27",60,"일본","기타","드라마","청소년관람불가","기타","0",0,0,3681
"존 왓츠","27",129,"미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","액션","12세이상관람가","톰 홀랜드","1",2.1846914308176,3.35525990552738,2352814
"기타","27",99,"홍콩","기타","액션","청소년관람불가","기타","0",1.25527250510331,0.903089986991944,2984
