"OPEN_MONTH","OPEN_QUARTER","OPEN_WEEK","SHOW_TM","NATION_NM","COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","NAVER_CMT_NN_log","NAVER_EX_PT_log","SHOW_TM_log","result","result_exp"
"7","3",27,93,"한국","기타","공포","15세이상관람가","0",9,167,"0",2.30258509299405,5.12396397940326,4.54329478227,8.48142815200016,4824.33486279517
"7","3",27,105,"영국","기타","드라마","12세이상관람가","0",9,151,"0",2.30258509299405,5.02388052084628,4.66343909411207,9.18335312743192,9733.73657269753
"7","3",27,87,"미국","기타","미스터리","12세이상관람가","0",1,15,"0",0.693147180559945,2.77258872223978,4.47733681447821,8.79412505360616,6595.38244494766
"7","3",27,74,"한국","기타","애니메이션","전체관람가","0",33,78,"0",3.52636052461616,4.36944785246702,4.31748811353631,9.96838676974252,21341.0295707195
"7","3",27,82,"미국","기타","스릴러","15세이상관람가","0",12,21,"0",2.56494935746154,3.09104245335832,4.4188406077966,8.57766253227984,5311.67513398271
"7","3",27,93,"미국","기타","드라마","15세이상관람가","0",137,144,"0",4.92725368515721,4.97673374242057,4.54329478227,9.87635881731397,19464.7188742792
"7","3",27,70,"일본","기타","드라마","12세이상관람가","0",4,82,"0",1.6094379124341,4.4188406077966,4.26267987704132,8.92809486278623,7540.88526141771
"7","3",27,129,"미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","액션","12세이상관람가","1",152,2265,"0",5.03043792139244,7.72577144158795,4.86753445045558,13.6900182964986,882062.590272237
"7","3",27,99,"홍콩","기타","액션","청소년관람불가","0",17,7,"0",2.89037175789616,2.07944154167984,4.60517018598809,8.53739644938915,5102.04362579359
"7","3",27,72,"한국","기타","멜로","청소년관람불가","0",2,0,"0",1.09861228866811,0,4.29045944114839,8.01427280379469,3023.80969507004
